text,category,urgency
"No streetlights are present on the newly constructed bypass road.",streetlight,high
"Sewer water is getting mixed with drinking water supply. This is a health emergency.",drainage,high
"Illegal dumping of industrial waste is happening near the lake.",garbage,high
"A large sinkhole has appeared in the middle of the residential colony road.",pothole,high
"The entire drainage system has collapsed in our area. Every house is flooded.",drainage,high
"There's a power line tangled with a streetlight. It looks dangerous.",streetlight,high
"The bridge has developed a huge crack. It needs an immediate structural audit.",other,high
"Biomedical waste is being dumped along with regular garbage.",garbage,high
"The storm drains are completely choked with plastic, leading to urban flooding.",drainage,medium
"The road quality is so bad that it's damaging our vehicles.",pothole,medium
"Stray cattle are creating a menace around the garbage dump.",garbage,medium
"Frequent power cuts are affecting the streetlights as well.",streetlight,medium
"A foul smell from the nearby drainage channel is making it difficult to live here.",drainage,medium
"The traffic signal at the main crossroad is broken.",other,medium
"The zebra crossing paint has faded and needs to be redone.",other,low
"The bus stop shelter is damaged and needs repair.",other,low
"Need more frequent rounds of the garbage truck in our area.",garbage,low
"One of the recently filled potholes has opened up again.",pothole,low
"Can we have a streetlight that is solar-powered in our lane?",streetlight,low
"The cover for the main drainage line on our street is missing. It's been a week.",drainage,medium
"A pile of leaves has been lying on the street corner for days.",garbage,low
"No water supply in our area for the last 2 days. We are having to buy tankers.",water supply,high
"We are getting muddy and contaminated water from our taps. It's a serious health risk.",water supply,high
"The main water pipeline on the street is leaking, and a lot of water is being wasted.",water supply,medium
"Request to fix the public water tap in the slum area which is broken.",water supply,medium
"Low water pressure in our apartment building for the past week.",water supply,low
"The bus shelter at the main market stop is completely broken, offering no protection from sun or rain.",public transport,medium
"Buses on route 505 are always overcrowded and infrequent.",public transport,medium
"The last bus service of the day is too early. It needs to be extended by an hour.",public transport,medium
"The digital display at the bus stop is not working, so we don't know the bus timings.",public transport,low
"Request for a new bus stop near the residential complex.",public transport,low
"The children's swing set in the local park is broken and dangerous.",parks,high
"The public park is not being maintained. The grass is overgrown and there's litter everywhere.",parks,medium
"The lights in the community park are not working, making it unsafe in the evenings.",parks,medium
"Request to install benches for senior citizens in the park.",parks,low
"The water fountain in the park is not functional.",parks,low
"Loud construction work is happening late at night, violating noise regulations.",noise pollution,high
"Loud music from a nearby pub is disturbing the peace of the neighborhood every night.",noise pollution,high
"Constant honking from the traffic jam outside our house is unbearable.",noise pollution,medium
"Use of loudspeakers for a religious event is going on beyond the permitted time.",noise pollution,medium
"The factory nearby makes a lot of noise during the day.",noise pollution,low
"A pack of aggressive stray dogs is roaming our street, has bitten a child.",stray animals,high
"Stray cattle are sitting in the middle of the road, causing traffic disruption and accidents.",stray animals,high
"Monkeys are creating a menace in our locality, snatching food and entering houses.",stray animals,medium
"Request for sterilization drive for stray dogs in the area to control their population.",stray animals,medium
"A sick/injured dog is lying on the roadside and needs help.",stray animals,medium
